title,abstract,science_field,collaborators,journal_name,evaluation,novelty,rigor,grammar,replicability,accessibility,mathematics,computer_and_information_sciences,physical_sciences,chemical_sciences,earth_and_related_environmental_sciences,biological_sciences,other_natural_sciences,civil_engineering,electrical_engineering,mechanical_engineering,chemical_engineering,materials_engineering,environmental_engineering,evironmental_biotechnology,industrial_biotechnology,nano-technology,other_engineering_and_technologies,basic_medicine,clinical_medicine,health_sciences,medical_biotechnology,other_medical_sciences,agriculture_forestry_and_fisheries,animal_and_dairy_science,veterinary_science,agricultural_biotechnology,other_agricultural_sciences,psychology,economics_and_business,education,sociology,law,political_science,social_and_economic_geography,media_and_communications,other_social_sciences,history_and_archaeology,languages_and_literature,philosophy_ethics_and_religion,arts,other_humanities_and_the_arts,applied_research,conclusive_research,correlational_research,descriptive_research,ethnographic_research,experiment,exploratory_research,focus_groups,interviews,mixed_methods,observation,qualitative_research,quantitative_research,questionnaires,secondary_research,survey_methodology
Cell-surface receptors enable perception of extracellular cytokinins,"Cytokinins are mobile multifunctional plant hormones with roles in development and stress resilience. Although their Histidine Kinase receptors are substantially localised to the endoplasmic reticulum, cellular sites of cytokinin perception and importance of spatially heterogeneous cytokinin distribution continue to be debated. Here we show that cytokinin perception by plasma membrane receptors is an effective additional path for cytokinin response. Readout from a Two Component Signalling cytokinin-specific reporter (TCSn::GFP) closely matches intracellular cytokinin content in roots, yet we also find cytokinins in extracellular fluid, potentially enabling action at the cell surface. Cytokinins covalently linked to beads that could not pass the plasma membrane increased expression of both TCSn::GFP and Cytokinin Response Factors. Super-resolution microscopy of GFP-labelled receptors and diminished TCSn::GFP response to immobilised cytokinins in cytokinin receptor mutants, further indicate that receptors can function at the cell surface. We argue that dual intracellular and surface locations may augment flexibility of cytokinin responses. The main site of cytokinin perception in plant cells is thought to be the endoplasmic reticulum where most cytokinin receptors localise. Here via the use of bioactive probes that cannot enter plant cells and super-resolution microscopy, Antoniadi et al. show that cytokinin can also be perceived at the plasma membrane.",10611.0,"Antoniadi, Ioanna:Novák, Ondřej:Plíhal, Ondřej:Simerský, Radim:Mik, Václav:Karady, Michal:Plačková, Lenka:Doležal, Karel",Nature Communications,1,medium,high,0,0,medium,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How to Fight Court-Packing,"Whether we like it or not, court-packing has flourished all over the world. Bolivian, Hungarian, Polish, and Turkish as well as Venezuelan political leaders have recently employed various strategies to stack their courts with loyal judges. Even in consolidated democracies, such as the United States, the possibility of court-packing is discussed with an intensity unheard of for several decades. Yet, our conceptual understanding of the phenomenon is still very limited. This article provides a novel conceptualization of court-packing and identifies three court-packing strategies: (1) the expanding strategy, which includes techniques that increase the size of the court, (2) the emptying strategy, which results in a decrease in the number of sitting judges, and (3) the swapping strategy, which aims at replacing sitting judges. Subsequently, it analyzes the potential safeguards, both formal and informal, against court-packing strategies and shows that formal institutions are rarely enough to fend off court-packing attempts.",50501.0,"Kosař, David:Šipulová, Katarína",Constitutional Studies,1,high,high,0,1,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Multi-messenger observations of a binary neutron star merger,"On 2017 August 17 a binary neutron star coalescence candidate (later designated GW170817) with merger time 12:41:04 UTC was observed through gravitational waves by the Advanced LIGO and Advanced Virgo detectors. The Fermi Gamma-ray Burst Monitor independently detected a gamma-ray burst (GRB 170817A) with a time delay of similar to 1.7 s with respect to the merger time. From the gravitational-wave signal, the source was initially localized to a sky region of 31 deg(2) at a luminosity distance of 40(-8)(+8) Mpc and with component masses consistent with neutron stars. The component masses were later measured to be in the range 0.86 to 2.26 M-circle dot. An extensive observing campaign was launched across the electromagnetic spectrum leading to the discovery of a bright optical transient (SSS17a, now with the IAU identification of AT 2017gfo) in NGC 4993 (at similar to 40 Mpc) less than 11 hours after the merger by the One-Meter, Two Hemisphere (1M2H) team using the 1 m Swope Telescope.",10303.0,"Abbott, P.B.:Abbott, R.:Abbott, T.D.:Blažek, Jiří:Boháčová, Martina:Caballero-García, María Dolores:Chudoba, Jiří:Ebr, Jan:Jelínek, Martin:Juryšek, Jakub:Kubánek, Petr:Mandát, Dušan:Palatka, Miroslav:Pech, Miroslav:Prouza, Michael:Řídký, Jan:Martins dos Santos, Eva M.:Schovánek, Petr:Trávníček, Petr:Vícha, Jakub:Yushkov, Alexey",Astrophysical Journal Letters,1,low,high,0,1,medium,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Targeted chemical pressure yields tuneable millimetre-wave dielectric,"We employ a chemical alternative to epitaxial strain by providing targeted chemical pressure, distinct from random doping, to induce a ferroelectric instability with the strategic introduction of barium into todayś best millimetre-wave tuneable dielectric, the epitaxially strained 50-nm-thick n=6 (SrTiO3)nSrO results in unprecedented low loss at frequencies up to 125 GHz. The resulting atomically engineered superlattice material, (SrTiO3)n-m(BaTiO3)mSrO, enables low-loss, tuneable dielectric properties to be achieved with lower epitaxial strain and a 200% improvement in the figure of merit at commercially relevant millimetre-wave frequencies.",10302.0,"Dawley, N.M.:Marksz, E.J.:Hagerstrom, A.M.:Olsen, G.H.:Holtz, M.E.:Goian, Veronica:Kadlec, Christelle:Zhang, J.:Lu, X.:Drisko, J.A.:Uecker, R.:Ganschow, S.:Long, Ch.J.:Booth, J.C.:Kamba, Stanislav:Fennie, C.J.:Muller, D.A.:Orloff, N.D.:Schlom, D. G.",Nature Materials,1,high,high,1,0,medium,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cotargeting of BCL2 with venetoclax and MCL1 with S63845 is synthetically lethal in vivo in relapsed mantle cell lymphoma,"Purpose: Mantle cell lymphoma (MCL) is an aggressive subtype of B-cell non-Hodgkin lymphomas characterized by (over)expression of BCL2. A BCL2-targeting drug, venetoclax, has promising anticancer activity in MCL. We analyzed molecular mechanisms of venetoclax resistance in MCL cells and tested strategies to overcome it. Experimental Design: We confirmed key roles of proapoptotic proteins BIM and NOXA in mediating venetoclax-induced cell death in MCL. Both BIM and NOXA are, however, differentially expressed in cell lines compared with primary cells. First, NOXA protein is significantly overexpressed in most MCL cell lines. Second, deletions of BIM gene harbored by three commonly used MCL cell lines (JEKO-1, MINO, and Z138) were not found by array comparative genomic hybridization using a validation set of 24 primary MCL samples. Results: We demonstrated that MCL1 and NOXA play important roles in mediating resistance to venetoclax. Consequently, we tested an experimental treatment strategy based on cotargeting BCL2 with venetoclax and MCL1 with a highly specific small-molecule MCL1 inhibitor S63845. The combination of venetoclax and S63845 demonstrated synthetic lethality in vivo on a panel of five patient-derived xenografts established from patients with relapsed MCL with adverse cytogenetics. Conclusions: Our data strongly support investigation of venetoclax in combination with S63845 as an innovative treatment strategy for chemoresistant MCL patients with adverse cytogenetics in the clinical grounds.",30204.0,"Průková, Dana:Andera, L.:Nahacka, Z.:Karolová, Jana:Svatoň, Michael:Klánová, Magdalena:Havránek, Ondřej:Soukup, Jan:Svobodová, Karla:Zemanová, Zuzana:Tušková, Diana:Pokorná, Eva:Helman, K.:Forsterová, Kristina:Pacheco Blanco, Mariana:Vočková, Petra:Berková, Adéla:Froňková, Eva:Trněný, Marek:Klener, Pavel",Clinical Cancer Research,1,high,high,1,1,medium,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Quantitative assessment of motor speech abnormalities in idiopathic rapid eye movement sleep behaviour disorder,"Objective: Patients with idiopathic rapid eye movement sleep behaviour disorder (RBD) are at substantial risk developing Parkinson’s disease (PD) or related neurodegenerative disorders. Speech is an important indicator of motor function and movement coordination and therefore may be an extremely sensitive early marker of changes due to prodromal neurodegeneration. Methods: Speech data were acquired from 16 RBD subjects and 16 age- and sex-matched healthy control subjects. Objective acoustic assessment of 15 speech dimensions representing various phonatory, articulatory and prosodic deviations was performed. Statistical models were applied to characterize speech disorders in RBD and estimate sensitivity and specificity in differentiating between RBD and control subjects.  Results: Some form of speech impairment was revealed in 88% of RBD subjects. Articulatory deficits were the most prominent findings in RBD. In comparison to controls, RBD group showed significant alteration in irregular alternating motion rates (p=0.009) and articulatory decay (p=0.01). The combination of four distinctive speech dimensions including aperiodicity, irregular alternating motion rates, articulatory decay and dysfluency led to 96% sensitivity and 79% specificity in discriminating between RBD and control subjects. Speech impairment was significantly more pronounced in RBD subjects with the motor score of the Unified Parkinson's Disease Rating Scale greater than 4 points when compared to other RBD individuals.  Conclusion: Simple quantitative speech motor measures may be suitable for the reliable detection of prodromal neurodegeneration in subjects with RBD, and therefore may provide important outcomes for future therapy trials.",0.0,"Rusz, Jan:Hlavnička, Jan:Tykalová, Tereza:Bušková, J.:Ulmanová, O.:Růžička, E.:Šonka, K.",SLEEP MEDICINE,1,medium,high,0,1,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
A CRMP4-dependent retrograde axon-to-soma death signal in amyotrophic lateral sclerosis,"Amyotrophic lateral sclerosis (ALS) is a fatal non-cell-autonomous neurodegenerative disease characterized by the loss of motor neurons (MNs). Mutations in CRMP4 are associated with ALS in patients, and elevated levels of CRMP4 are suggested to affect MN health in the SOD1G93A-ALS mouse model. However, the mechanism by which CRMP4 mediates toxicity in ALS MNs is poorly understood. Here, by using tissue from human patients with sporadic ALS, MNs derived from C9orf72-mutant patients, and the SOD1G93A-ALS mouse model, we demonstrate that subcellular changes in CRMP4 levels promote MN loss in ALS. First, we show that while expression of CRMP4 protein is increased in cell bodies of ALS-affected MN, CRMP4 levels are decreased in the distal axons. Cellular mislocalization of CRMP4 is caused by increased interaction with the retrograde motor protein, dynein, which mediates CRMP4 transport from distal axons to the soma and thereby promotes MN loss. Blocking the CRMP4-dynein interaction reduces MN loss in human-derived MNs (C9orf72) and in ALS model mice. Thus, we demonstrate a novel CRMP4-dependent retrograde death signal that underlies MN loss in ALS.",30210.0,"Maimon, R.:Ankol, L.:Pery, T. G.:Altman, T.:Ionescu, A.:Weissová, Romana:Ostrovsky, M.:Tank, E.:Alexandra, G.:Shelestovich, N.:Opatowsky, Y.:Dori, A.:Barmada, S.:Balaštík, Martin:Perlson, E.",EMBO Journal,1,high,high,0,1,medium,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meis homeobox genes control progenitor competence in the retina,"The vertebrate eye is derived from the neuroepithelium, surface ectoderm, and extracellular mesenchyme. The neuroepithelium forms an optic cup in which the spatial separation of three domains is established, namely, the region of multipotent retinal progenitor cells (RPCs), the ciliary margin zone (CMZ)-which possesses both a neurogenic and nonneurogenic potential-and the optic disk (OD), the interface between the optic stalk and the neuroretina. Here, we show by genetic ablation in the developing optic cup that Meis1 and Meis2 homeobox genes function redundantly to maintain the retinal progenitor pool while they simultaneously suppress the expression of genes characteristic of CMZ and OD fates. Furthermore, we demonstrate that Meis transcription factors bind regulatory regions of RPC-, CMZ-, and OD-specific genes, thus providing a mechanistic insight into the Meis-dependent gene regulatory network. Our work uncovers the essential role of Meis1 and Meis2 as regulators of cell fate competence, which organize spatial territories in the vertebrate eye.",10601.0,"Dupačová, Naoko:Antošová, Barbora:Pačes, Jan:Kozmik, Zbyněk",Proceedings of the National Academy of Sciences of the United States of America,1,high,high,0,1,medium,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National Strategies of EU Law Transposition: Does the Distinction between Legislative and Executive Measures Matter in Practice?,The chapter is an empirical analysis of the transposition of selected EU legal acts in six member states from the point of view of the central theses of the book - the (im)balance between the legislative and the executive branch.,50501.0,"Zbíral, Robert:Grinc, Jan",Executive-legislative (Im)balance in the European Union,1,medium,medium,0,0,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Rotational BODIPY Nucleotide: An Environment-Sensitive Fluorescence-Lifetime Probe for DNA Interactions and Applications in Live-Cell Microscopy,"Fluorescent probes for detecting the physical properties of cellular structures have become valuable tools in life sciences. The fluorescence lifetime of molecular rotors can be used to report on variations in local molecular packing or viscosity. We used a nucleoside linked to a meso-substituted BODIPY fluorescent molecular rotor (dCbdp) to sense changes in DNA microenvironment both in vitro and in living cells. DNA incorporating dCbdp can respond to interactions with DNA-binding proteins and lipids by changes in the fluorescence lifetimes in the range 0.5-2.2 ns. We can directly visualize changes in the local environment of exogenous DNA during transfection of living cells. Relatively long fluorescence lifetimes and extensive contrast for detecting changes in the microenvironment together with good photostability and versatility for DNA synthesis make this probe suitable for analysis of DNA-associated processes, cellular structures, and also DNA-based nanomaterials.",0.0,"Dziuba, Dmytro:Jurkiewicz, Piotr:Cebecauer, Marek:Hof, Martin:Hocek, Michal",Angewandte Chemie - International Edition,1,medium,high,0,0,medium,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The discovery of Iberobaeniidae (Coleoptera: Elateroidea): a new family of beetles from Spain, with immatures detected by environmental DNA sequencing","The ongoing exploration of biodiversity and the implementation of new molecular tools continue to unveil hitherto unknown lineages. Here, we report the discovery of three species of neotenic beetles for which we propose the new family Iberobaeniidae. Complete mitochondrial genomes and rRNA genes recovered Iberobaeniidae as a deep branch in Elateroidea, as sister to Lycidae (net-winged beetles). Two species of the new genus Iberobaenia, Iberobaenia minuta sp. nov. and Iberobaenia lencinai sp. nov. were found in the adult stage. In a separate incidence, a related sequence was identified in bulk samples of soil invertebrates subjected to shotgun sequencing and mitogenome assembly, which was traced to a larval voucher specimen of a third species of Iberobaenia. Iberobaenia shows characters shared with other elateroid neotenic lineages, including soft-bodiedness, the hypognathous head, reduced mouthparts with reduced labial palpomeres, and extremely small-bodied males without strengthening structures due to miniaturization. Molecular dating shows that Iberobaeniidae represents an ancient relict lineage originating in the Lower Jurassic, which possibly indicates a long history of neoteny, usually considered to be evolutionarily short-lived. The apparent endemism of Iberobaeniidae in the Mediterranean region highlights the importance of this biodiversity hotspot and the need for further species exploration even in the well-studied European continent.",0.0,"Bocák, Ladislav:Kundrata, Robin:Andújar, Fernández Carmelo:Vogler, Alfried",Proceedings of The Royal Society of London. Biological Sciences,1,high,high,0,1,medium,0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PredictSNP2: A Unified Platform for Accurately Evaluating SNP Effects by Exploiting the Different Characteristics of Variants in Distinct Genomic Regions,"An important message taken from human genome sequencing projects is that the human population exhibits approximately 99.9% genetic similarity. Variations in the remaining parts of the genome determine our identity, trace our history and reveal our heritage. The precise delineation of phenotypically causal variants plays a key role in providing accurate personalized diagnosis, prognosis, and treatment of inherited diseases. Several computational methods for achieving such delineation have been reported recently. However, their ability to pinpoint potentially deleterious variants is limited by the fact that their mechanisms of prediction do not account for the existence of different categories of variants. Consequently, their output is biased towards the variant categories that are most strongly represented in the variant databases.",0.0,"Bendl, Jaroslav:Musil, Miloš:Štourač, Jan:Zendulka, Jaroslav:Damborský, Jiří:Brezovský, Jan",PLOS COMPUTATIONAL BIOLOGY 12: e100496,1,medium,medium,1,0,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smarcal1-Mediated Fork Reversal Triggers Mre11-Dependent Degradation of Nascent DNA in the Absence of Brca2 and Stable Rad51 Nucleofilaments,"Brca2 deficiency causes Mre11-dependent degradation of nascent DNA at stalled forks, leading to cell lethality. To understand the molecular mechanisms underlying this process, we isolated Xenopus laevis Brca2. We demonstrated that Brca2 protein prevents single-stranded DNA gap accumulation at replication fork junctions and behind them by promoting Rad51 binding to replicating DNA. Without Brca2, forks with persistent gaps are converted by Smarcal1 into reversed forks, triggering extensive Mre11-dependent nascent DNA degradation. Stable Rad51 nucleofilaments, but not RPA or Rad51(T131P) mutant proteins, directly prevent Mre11-dependent DNA degradation. Mre11 inhibition instead promotes reversed fork accumulation in the absence of Brca2. Rad51 directly interacts with the Pol alpha N-terminal domain, promoting Pol alpha and delta binding to stalled replication forks. This interaction likely promotes replication fork restart and gap avoidance. These results indicate that Brca2 and Rad51 prevent formation of abnormal DNA replication intermediates, whose processing by Smarcal1 and Mre11 predisposes to genome instability.",10608.0,"Kolinjivadi, A.M.:Sannino, V.:De Antoni, A.:Movsesjan, Karina:Kilkenny, M.:Techer, H.:Baldi, G.:Shen, R.:Ciccia, A.:Pellegrini, L.:Krejčí, Lumír:Costanzo, V.",Molecular Cell,1,high,high,0,1,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Measurement of preheat due to nonlocal electron transport in warm dense matter,This Letter presents a novel approach to study electron transport in warm dense matter. It also includes the first x-ray Thomson scattering (XRTS) measurement from low-density CH foams compressed by a strong laser-driven shock at the OMEGA laser facility. The XRTS measurement is combined with velocity interferometry (VISAR) and optical pyrometry (SOP) providing a robust measurement of thermodynamic conditions in the shock. Evidence of significant preheat contributing to elevated temperatures reaching 17.5-35 eV in shocked CH foam is measured by XRTS. These measurements are complemented by abnormally high shock velocities observed by VISAR and early emission seen by SOP. These results are compared to radiation hydrodynamics simulations that include first-principles treatment of nonlocal electron transport in warm dense matter with excellent agreement. Additional simulations confirm that the x-ray contribution to this preheat is negligible.,10305.0,"Falk, Kateřina:Holec, M.:Fontes, C.J.:Fryer, C.L.:Greeff, C.W.:Johns, H.M.:Montgomery, D. S.:Schmidt, D.W.:Šmíd, Michal",Physical Review Letters,1,high,high,0,1,medium,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On-line measurement and monitoring of pulsating saline and water jetndisintegration of bone cement with frequency 20 kHz,"This paper deals with performance analysis of disintegration of polymethylmethacrylate using pulsatingnliquids jet with different density with frequency 20 kHz using condition monitoring. The influence of thenliquid on the cutting depth was studied by using contactless measurement device MicroProf, FRT. Thencutting depths were compared to studies that used a continuous water jet to assess the volume flownreduction. On-line condition measurement was used for controlling the disintegration process withoutncompromising the structural integrity of neighbouring materials. With a flow rate of 0.54 l/min, a maximumndisintegration depth of 1.3 mm and material removal of 0.4 mm3 was obtained using physiologicalnsaline and 1.1 mmand 0.2 mm3 for water. Continuous jets required approximately 1.0 l/min to reach similarncutting depths. Hence, a pulsating liquid jet enhances the cutting capacity with reduced flow rate.nSignal strength for individual pressures 7–10 MPa is not significant, but signal increases during significantnbone cement removal. The results open new avenues for research a minimally invasive and nonthermalntechnique for on-line controlled processes for medical purposes.",20301.0,"Hloch, Sergej:Nag, A.:Pude, F.:Foldyna, Josef:Zeleňák, Michal",Measurement,1,medium,medium,1,1,medium,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bioaccumulation of psychoactive pharmaceuticals in fish in an effluent dominated stream,"The treated effluent from sewage treatment plants (STP) is a major source of active pharmaceutical ingredients (APIs) that enter the aquatic environment. Bioaccumulation of 11 selected psychoactive pharmaceuticals (citalopram, clomipramine, haloperidol, hydroxyzine, levomepromazine, mianserin, mirtazapine, paroxetine, sertraline, tramadol and venlafaxine) was examined in Zivny Stream (tributary of the Blanice River, the Czech Republic), which is a small stream highly affected by effluent from the Prachatice STP. Six of the 11 pharmaceuticals were detected in grab water samples and in passive samplers. All pharmaceuticals were found in fish exposed to the stream for a defined time. The organs with highest presence of the selected pharmaceuticals were the liver and kidney, whereas only one pharmaceutical (sertraline) was detected in the brain of exposed fish. Fish plasma and muscle samples were not adequate in revealing exposure because the number of hits was much lower than that in the liver or kidney. Using the criterion of a bioaccumulation factor (BAF) &gt,= 500, citalopram, mianserin, mirtazapine and sertraline could be classified as potential bioaccumulative compounds. In combination, data from integrative passive samplers and fish liver or kidney tissue samples were complimentary in detection of target compounds and simultaneously helped to distinguish between bioconcentration and bioaccumulation.",10511.0,"Grabicová, Kateřina:Grabic, Roman:Fedorova, Ganna:Fick, Jerker:Červený, Daniel:Kolářová, Jitka:Turek, Jan:Žlábek, Vladimír:Randák, Tomáš",Water Research,1,medium,high,0,1,medium,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Stationary solutions to the compressible Navier-Stokes system driven by stochastic forces,"We study the long-time behavior of solutions to a stochastically driven Navier-Stokes system describing the motion of a compressible viscous fluid driven by a temporal multiplicative white noise perturbation. The existence of stationary solutions is established in the framework of Lebesgue-Sobolev spaces pertinent to the class of weak martingale solutions. The methods are based on new global-in-time estimates and a combination of deterministic and stochastic compactness arguments. An essential tool in order to obtain the global-in-time estimate is the stationarity of solutions on each approximation level, which provides a certain regularizing effect. In contrast with the deterministic case, where related results were obtained only under rather restrictive constitutive assumptions for the pressure, the stochastic case is tractable in the full range of constitutive relations allowed by the available existence theory, due to the underlying martingale structure of the noise.",10101.0,"Breit, Dominic:Feireisl, Eduard:Hofmanova, Martina:Maslowski, Bohdan",Probability Theory and Related Fields,1,medium,high,1,1,medium,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Localization, Grasping, and Transportation of Magnetic Objects by a team of MAVs in Challenging Desert like Environments","Autonomous Micro Aerial Vehicles have the potential to assist in real life tasks involving grasping and transportation, but not before solving several difficult research challenges. In this work, we address the design, control, estimation, and planning problems for cooperative localization, grasping, and transportation of objects in challenging outdoor scenarios. We demonstrate an autonomous team of MAVs able to plan safe trajectories for manipulation of ferrous objects, while guaranteeing inter-robot collision avoidance and automatically creating a map of the objects in the environment. Our solution is predominantly distributed, allowing the team to pick and transport ferrous disks to a final destination without collisions. This result is achieved using a new magnetic gripper with a novel feedback approach, enabling the detection of successful grasping. The gripper design and all the components to build a platform are clearly provided as open-source hardware for reuse by the community. Finally, the proposed solution is validated through experimental results where difficulties include inconsistent wind, uneven terrain, and sandy conditions.",10201.0,"Loianno, G.:Spurný, Vojtěch:Thomas, J.:Báča, Tomáš:Thakur, D.:Heřt, Daniel:Pěnička, Robert:Krajník, Tomáš:Zhou, A.:Cho, A.:Saska, Martin:Kumar, V.",IEEE Robotics and Automation Letters,1,high,high,0,1,medium,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLAM++-A Highly Efficient and Temporally Scalable Incremental SLAM Framework,"The most common way to deal with the uncertainty present in noisy sensorial perception and action is to model the problem with a probabilistic framework. Maximum likelihood estimation (MLE) is a well-known estimation method used in many robotic and computer vision applications. Under Gaussian assumption, the MLE converts to a nonlinear least squares (NLS) problem.  Efficient solutions to NLS exist and they are based on iteratively solving sparse linear systems until convergence. In general, the existing solutions provide only an estimation of the mean state vector, the resulting covariance being computationally too expensive to recover. Nevertheless, in many simultaneous localisation and mapping (SLAM) applications, knowing only the mean vector is not enough. Data association, obtaining reduced state representations, active decisions and next best view are only a few of the applications that require fast state covariance recovery. Furthermore, computer vision and robotic applications are in general performed online. In this case, the state is updated and recomputed every step and its size is continuously growing, therefore, the estimation process may become highly computationally demanding.  This paper introduces a general framework for incremental MLE called SLAM++, which fully benefits from the incremental nature of the online applications, and provides efficient estimation of both the mean and the covariance of the estimate. Based on that, we propose a strategy for maintaining a sparse and scalable state representation for large scale mapping. SLAM++ differs from existing implementations by performing all the matrix operations by blocks. This led to extremely fast matrix manipulation and arithmetic operations used in NLS. Even though this paper tests SLAM++ efficiency on SLAM problems, its applicability remains general.",10201.0,"Ila, Viorela Simona:Polok, Lukáš:Šolony, Marek:Svoboda, Pavel",INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH,1,high,high,1,1,medium,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Do Borders Really Slash Trade? A Meta-Analysis,"National borders reduce trade, but most estimates of the border effect seem puzzlingly large. We show that major methodological innovations of the last decade combine to shrink the border effect to a one-third reduction in international trade flows worldwide. For the computation we collect 1,271 estimates of the border effect reported in 61 studies, codify 32 aspects of study design that may influence the estimates, and use Bayesian model averaging to take into account model uncertainty in meta-analysis. Our results suggest that methods systematically affect the estimated border effects. Especially important is the level of aggregation, measurement of internal and external distance, control for multilateral resistance, and treatment of zero trade flows. We also find that the magnitude of the border effect is associated with country characteristics, such as size and income.",50201.0,"Havránek, Tomáš:Iršová, Zuzana",IMF Economic Review,1,medium,high,0,1,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
